position,player_name,posteam,model_rank,ecr_rank,rank_gap,start_pct
WR,A.J. Brown,NE,10,11,1,45
WR,Rashee Rice,KC,11,12,1,44
WR,Cooper Kupp,SEA,60,61,1,19
QB,Matthew Stafford,LA,13,13,0,37
RB,Chase Brown,CIN,6,6,0,52
RB,James Cook,BUF,10,10,0,47
RB,Jeremiyah Love,ARI,20,20,0,28
TE,Trey McBride,ARI,2,2,0,46
TE,Mark Andrews,BAL,15,15,0,30
TE,Hunter Henry,NE,18,18,0,29
WR,Justin Jefferson,MIN,6,6,0,49
WR,Reggie Virgil,ARI,180,180,0,9
